,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
291,salamiyah,0.0,SY,1540655495,89.0,35.01,37.05,48.77,2.75
292,champerico,75.0,MX,1540651320,78.0,16.38,-93.6,77.0,2.98
293,sainte-marie,40.0,CA,1540652400,62.0,46.45,-71.03,33.8,17.22
294,mount pleasant,1.0,US,1540653300,82.0,33.16,-94.97,66.2,8.01
295,dejen,0.0,ET,1540655496,25.0,10.16,38.15,74.37,1.74
296,coaldale,20.0,CA,1540652400,74.0,49.73,-112.62,37.4,13.87
297,faanui,92.0,PF,1540655312,100.0,-16.48,-151.75,77.16,8.46
298,sainthia,36.0,IN,1540655497,63.0,23.95,87.68,75.18,5.44
299,whitianga,92.0,NZ,1540655497,100.0,-36.83,175.7,61.32,24.34
300,lompoc,1.0,US,1540654500,62.0,34.64,-120.46,57.2,2.19
301,monrovia,75.0,LR,1540654200,74.0,6.33,-10.8,87.8,10.29
302,bredasdorp,20.0,ZA,1540652400,69.0,-34.53,20.04,73.4,18.34
303,khandyga,12.0,RU,1540655498,93.0,62.65,135.58,7.01,4.76
304,ginir,12.0,ET,1540655498,84.0,7.14,40.71,65.28,2.64
305,sioux lookout,90.0,CA,1540652400,93.0,50.1,-91.92,41.0,8.05
306,phalaborwa,0.0,ZA,1540652400,17.0,-23.95,31.14,91.4,11.41
307,najran,8.0,SA,1540655499,22.0,17.54,44.22,77.39,6.67
308,vorotynets,0.0,RU,1540655499,81.0,56.06,45.86,33.96,8.79
309,bambous virieux,20.0,MU,1540652400,73.0,-20.34,57.76,73.4,2.24
310,amapa,40.0,HN,1540652400,70.0,15.09,-87.97,84.2,6.93
311,santiago,75.0,CL,1540652400,40.0,-33.44,-70.65,71.6,3.36
312,coffs harbour,0.0,AU,1540654200,77.0,-30.3,153.13,68.0,6.93
313,oranjemund,12.0,ZA,1540655324,87.0,-28.55,16.43,65.19,14.05
314,taltal,0.0,CL,1540655500,77.0,-25.41,-70.49,68.84,2.98
315,charters towers,0.0,AU,1540655500,72.0,-20.07,146.27,68.39,3.65
316,kawalu,80.0,ID,1540655501,98.0,-7.38,108.21,68.21,1.07
317,wanaka,76.0,NZ,1540655501,84.0,-44.7,169.14,35.94,1.97
318,lewisville,20.0,US,1540653300,77.0,33.05,-96.99,66.2,4.65
319,saint-georges,68.0,CA,1540655502,62.0,46.12,-70.67,33.29,4.76
320,manhattan,1.0,US,1540652160,93.0,39.18,-96.57,48.2,3.36
321,brownsville,1.0,US,1540651980,83.0,25.91,-97.49,73.4,4.7
322,padang,36.0,ID,1540655505,100.0,-0.92,100.36,80.58,2.64
323,itarema,0.0,BR,1540655148,56.0,-2.92,-39.92,90.89,18.3
324,sept-iles,20.0,CA,1540652400,36.0,50.2,-66.38,28.4,8.05
325,grindavik,90.0,IS,1540652400,80.0,63.84,-22.43,37.4,17.22
326,saint-joseph,92.0,FR,1540654200,87.0,43.56,6.97,62.6,2.19
327,jutai,0.0,BR,1540655506,65.0,-1.71,-47.89,89.67,5.32
328,rundu,76.0,NA,1540655506,17.0,-17.91,19.77,90.84,10.25
329,ekhabi,92.0,RU,1540655507,80.0,53.51,142.97,44.76,27.81
330,loreto,20.0,PY,1540655507,93.0,-23.27,-57.32,75.32,11.92
331,iqaluit,90.0,CA,1540652400,85.0,63.75,-68.52,23.0,23.04
332,pevek,0.0,RU,1540655320,100.0,69.7,170.27,3.41,5.66
333,camalu,0.0,MX,1540655508,72.0,30.85,-116.07,56.87,1.74
334,tandalti,24.0,SD,1540655508,22.0,13.01,31.87,97.95,12.59
335,talnakh,92.0,RU,1540655275,91.0,69.49,88.39,36.75,21.77
336,bracebridge,90.0,CA,1540652400,51.0,45.04,-79.31,37.4,6.93
337,ust-tsilma,88.0,RU,1540655509,91.0,65.44,52.15,32.07,7.23
338,xuddur,92.0,SO,1540655356,98.0,4.12,43.89,71.54,4.09
339,juxtlahuaca,88.0,MX,1540655509,96.0,17.43,-99.15,64.11,2.19
340,roald,75.0,NO,1540653600,100.0,62.58,6.12,33.8,9.17
341,puerto quijarro,90.0,BO,1540652400,94.0,-19.0,-57.72,77.0,17.22
342,puerto baquerizo moreno,75.0,EC,1540652400,65.0,-0.9,-89.6,77.0,17.22
